White,1,,,,,4
White,,,3,,,
White,,,,1,2,
White,,,2,2,,
White,,,1,1,1,1
White,,,2,1,,2
White,,,0,1,,3
White,,,1,1,1,2
Blue,1,,,,4,
Blue,,,,3,,
Blue,,1,,,2,
Blue,,1,,1,1,1
Blue,,1,,1,2,1
Blue,,,,2,,2
Blue,,1,,,2,2
Blue,,,,,2,3
Black,1,,4,,,
Black,,1,1,,1,1
Black,,2,2,,,1
Black,,2,2,,1,
Black,,,,,1,2
Black,,2,,,,2
Black,,,,,,3
Black,,,1,,3,1
Red,1,4,,,,
Red,,3,,,,
Red,,,2,,,1
Red,,1,1,1,,1
Red,,2,1,1,,1
Red,,2,,2,,1
Red,,2,,2,,
Red,,1,1,2,,1
Green,1,,,4,,
Green,,,,,3,
Green,,,1,1,2,
Green,,2,1,,,
Green,,,1,2,1,
Green,,1,2,1,,
Green,,1,1,1,1,
Green,,2,1,0,1,
